	reasoning_type	fn_name	test_id	num_tests	avg_test_acc	gpt	unifiedqav2	t5	deberta	roberta	albert	xlnet
16	orientation	above_below_one_hop	1	640	0.39754464285714286	0.840625	0.0	0.45	0.2671875	0.371875	0.1875	0.665625
38	distance	transitivity_negative	0	480	0.40267857142857144	0.49375	0.0	1.0	0.6770833333333334	0.6458333333333334	0.0	0.0020833333333333
15	orientation	above_below_one_hop	0	160	0.4116071428571428	0.4	1.0	0.0	0.65	0.83125	0.0	0.0
44	containment	motion_out_of	3	36	0.4166666666666667	0.4444444444444444	1.0	0.2222222222222222	0.3611111111111111	0.3333333333333333	0.0	0.5555555555555556
65	containment	two_hop_is_in	5	1188	0.4193121693121693	0.9932659932659932	0.0	0.93013468013468	0.8914141414141414	0.1203703703703703	0.0	0.0
74	metaphor	containment_metaphors_got_out_of	0	12	0.4404761904761905	0.5833333333333334	0.0	0.0	0.0	0.5	1.0	1.0
11	motion	non_motion_one_hop_jerund	2	48	0.4970238095238095	0.0	0.0	0.5833333333333334	0.6666666666666666	0.6666666666666666	0.8958333333333334	0.6666666666666666
18	orientation	left_right_one_hop	1	840	0.5052721088435373	0.8642857142857143	0.0	0.8892857142857142	0.5988095238095238	0.3428571428571428	0.1845238095238095	0.6571428571428571
17	orientation	left_right_one_hop	0	360	0.5079365079365079	0.6666666666666666	1.0	0.0194444444444444	0.9777777777777776	0.8916666666666667	0.0	0.0
35	distance	touching_positive	0	120	0.5142857142857143	0.875	1.0	0.0	0.25	0.575	0.0	0.9
62	containment	two_hop_is_in	2	1188	0.5168350168350168	0.5984848484848485	1.0	0.1792929292929292	0.0496632996632996	0.7904040404040404	0.0	1.0
53	containment	two_hop_fits_in	0	528	0.5221861471861472	0.4053030303030303	1.0	0.0454545454545454	0.1193181818181818	0.928030303030303	0.1571969696969697	1.0
10	motion	non_motion_one_hop_jerund	1	48	0.5535714285714286	0.875	0.0	0.9166666666666666	0.5833333333333334	0.6875	0.3125	0.5
69	metaphor	containment_metaphors_could_not_contain	0	12	0.5595238095238095	1.0	0.0	0.3333333333333333	0.9166666666666666	0.0	1.0	0.6666666666666666
93	metaphor	orientation_metaphors_looking_forward	0	12	0.5714285714285714	1.0	0.0	1.0	0.0	0.0	1.0	1.0
13	orientation	cardinals_one_hop	0	24	0.5714285714285714	1.0	1.0	0.0	1.0	1.0	0.0	0.0
60	containment	two_hop_is_in	0	1782	0.5756774090107423	0.957912457912458	1.0	0.1374859708193041	0.4113355780022447	0.5303030303030303	0.0129068462401795	0.9797979797979798
64	containment	two_hop_is_in	4	1188	0.6004088504088504	0.4924242424242424	1.0	0.2382154882154882	0.5471380471380471	0.9486531986531986	0.0	0.9764309764309764
41	containment	motion_out_of	0	54	0.6005291005291005	0.6666666666666666	1.0	0.6666666666666666	0.8148148148148148	0.6666666666666666	0.0	0.3888888888888889
8	motion	non_motion_one_hop	2	36	0.6111111111111113	0.1388888888888889	0.0	0.8888888888888888	0.9722222222222222	0.6944444444444444	0.6944444444444444	0.8888888888888888
42	containment	motion_out_of	1	54	0.6137566137566137	0.9814814814814816	0.0	0.9814814814814816	0.9629629629629628	0.6111111111111112	0.3518518518518518	0.4074074074074074
14	orientation	cardinals_one_hop	1	72	0.621031746031746	0.9861111111111112	0.0277777777777777	1.0	0.3333333333333333	0.3333333333333333	0.6666666666666666	1.0
47	containment	movement_into_container	2	36	0.6666666666666666	0.75	0.0	0.8055555555555556	1.0	0.9166666666666666	0.3055555555555556	0.8888888888888888
7	motion	non_motion_one_hop	1	36	0.6984126984126984	0.8055555555555556	0.0	1.0	0.9166666666666666	0.7777777777777778	0.6111111111111112	0.7777777777777778
72	metaphor	containment_metaphors_entity_in_state	0	20	0.7142857142857143	0.95	0.0	0.8	0.8	0.45	1.0	1.0
83	metaphor	motion_metaphors_flying	0	4	0.7142857142857143	0.0	1.0	1.0	1.0	1.0	0.0	1.0
9	motion	non_motion_one_hop_jerund	0	48	0.7172619047619048	0.9375	1.0	0.8333333333333334	0.7083333333333334	0.7083333333333334	0.0	0.8333333333333334
52	containment	one_hop_pos	2	216	0.7493386243386243	0.5	1.0	0.7546296296296297	0.9953703703703703	0.9953703703703703	0.0	1.0
1	motion	motion_one_hop	1	36	0.75	1.0	0.0	0.9722222222222222	1.0	1.0	0.5	0.7777777777777778
50	containment	one_hop_pos	0	216	0.759920634920635	0.9166666666666666	1.0	0.5740740740740741	0.976851851851852	1.0	0.0	0.8518518518518519
39	containment	filled_with	0	18	0.7857142857142857	1.0	1.0	1.0	1.0	1.0	0.0	0.5
61	containment	two_hop_is_in	1	1188	0.8073593073593074	0.6515151515151515	1.0	1.0	1.0	1.0	0.0	1.0
63	containment	two_hop_is_in	3	1188	0.8089225589225589	0.7045454545454546	1.0	0.9924242424242424	0.9654882154882156	1.0	0.0	1.0
51	containment	one_hop_pos	1	216	0.8181216931216931	0.7268518518518519	1.0	1.0	1.0	1.0	0.0	1.0
22	distance	far_negative	3	40	0.8250000000000001	1.0	0.0	1.0	1.0	1.0	0.775	1.0
20	distance	far_negative	1	60	0.8261904761904761	0.85	0.0	0.9333333333333332	1.0	1.0	1.0	1.0
34	distance	touching_negative	2	120	0.8261904761904761	0.95	0.0	1.0	1.0	1.0	0.8333333333333334	1.0
4	motion	motion_one_hop_jerund	1	72	0.8313492063492064	0.9722222222222222	0.0	1.0	1.0	1.0	0.8472222222222222	1.0
32	distance	touching_negative	0	120	0.8321428571428572	0.825	0.0	1.0	1.0	1.0	1.0	1.0
6	motion	non_motion_one_hop	0	24	0.8333333333333333	1.0	1.0	1.0	1.0	1.0	0.0	0.8333333333333334
19	distance	far_negative	0	60	0.8357142857142856	0.85	0.0	1.0	1.0	1.0	1.0	1.0
45	containment	movement_into_container	0	54	0.8412698412698413	1.0	1.0	1.0	1.0	1.0	0.0	0.8888888888888888
21	distance	far_negative	2	40	0.85	0.95	0.0	1.0	1.0	1.0	1.0	1.0
49	containment	one_hop_neg	1	72	0.857142857142857	1.0	1.0	0.9861111111111112	1.0	1.0	0.0138888888888888	1.0
24	distance	far_positive	1	60	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
25	distance	far_positive	2	60	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
36	distance	touching_positive	1	120	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
37	distance	touching_positive	2	120	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
3	motion	motion_one_hop_jerund	0	72	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
90	metaphor	orientation_metaphors_behind	0	12	0.8571428571428571	1.0	0.0	1.0	1.0	1.0	1.0	1.0
91	metaphor	orientation_metaphors_down	0	4	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
0	motion	motion_one_hop	0	24	0.8571428571428571	1.0	1.0	1.0	1.0	1.0	0.0	1.0
33	distance	touching_negative	1	120	0.8583333333333333	1.0	0.0083333333333333	1.0	1.0	1.0	1.0	1.0
48	containment	one_hop_neg	0	72	0.884920634920635	1.0	0.1944444444444444	1.0	1.0	1.0	1.0	1.0
92	metaphor	orientation_metaphors_down	1	4	0.9285714285714286	1.0	0.5	1.0	1.0	1.0	1.0	1.0
