reasoning_type,num_tests,acc_wo_partial_credit,acc_w_partial_credit,stdev_acc_w_partial_credit,size,model
metaphor,27,0.1851851851851851,0.315895061728395,0.409745035518421,770000000.0,T5
motion,12,0.0833333333333333,0.6174768518518517,0.3030921630284526,220000000.0,T5
orientation,7,0.0,0.219047619047619,0.2675103575251245,220000000.0,T5
distance,20,0.6,0.6479166666666667,0.4746919688364,220000000.0,T5
containment,28,0.2857142857142857,0.4881954465287798,0.4512100623330904,220000000.0,T5
metaphor,27,0.3333333333333333,0.3623456790123456,0.4569176811388416,220000000.0,T5
motion,12,0.6666666666666666,0.8952546296296297,0.1575296961656429,,
orientation,7,0.2857142857142857,0.6038938492063491,0.3271232959005224,,
distance,20,0.5,0.6748958333333335,0.408696944292841,,
containment,28,0.3214285714285714,0.6741246793330127,0.3681694183504335,,
metaphor,27,0.1481481481481481,0.2398662551440329,0.3882846965130627,,
motion,12,0.3333333333333333,0.710648148148148,0.307003269319911,125000000.0,RoBERTa
orientation,7,0.0,0.3209785997732425,0.2331132813495829,125000000.0,RoBERTa
distance,20,0.55,0.60125,0.4577441288536642,125000000.0,RoBERTa
containment,28,0.2142857142857142,0.529260862594196,0.4167996855049643,125000000.0,RoBERTa
metaphor,27,0.2222222222222222,0.3469135802469136,0.4288295640470256,125000000.0,RoBERTa
motion,12,0.4166666666666667,0.7638888888888888,0.2837891214125354,,
orientation,7,0.1428571428571428,0.4296662414965986,0.2910519966400972,,
distance,20,0.45,0.6101041666666667,0.4230291696625856,,
containment,28,0.1785714285714285,0.6210517877184544,0.4112773413376603,,
metaphor,27,0.1851851851851851,0.2528292181069959,0.3963028731789335,,
motion,12,0.6666666666666666,0.8564814814814815,0.2160107990238556,,
orientation,7,0.0,0.3986926020408163,0.2483034552630856,,
distance,20,0.3,0.7731250000000001,0.3256736474644176,,
containment,28,0.2142857142857142,0.5941007295173962,0.4132875497134209,,
metaphor,27,0.1481481481481481,0.2720679012345679,0.3863205780317967,,
motion,12,0.6666666666666666,0.8379629629629629,0.2675990003077486,,
orientation,7,0.0,0.5448837868480726,0.3172103069589514,,
distance,20,0.5,0.6638541666666666,0.3919005701165015,,
containment,28,0.1785714285714285,0.6289958112874778,0.3911767076238244,,
metaphor,27,0.2592592592592592,0.2825617283950617,0.4327004739099931,,
motion,12,0.3333333333333333,0.3333333333333333,0.4714045207910317,2700000000.0,GPT
orientation,7,0.4285714285714285,0.4285714285714285,0.4948716593053934,2700000000.0,GPT
distance,20,0.4,0.4,0.4898979485566356,2700000000.0,GPT
containment,28,0.2857142857142857,0.2857142857142857,0.4517539514526256,2700000000.0,GPT
metaphor,27,0.925925925925926,0.925925925925926,0.2618914004394621,2700000000.0,GPT
motion,12,0.4166666666666667,0.8171296296296297,0.2552076772058417,350000000.0,DeBERTa
orientation,7,0.1428571428571428,0.5467722505668934,0.3342830612388009,350000000.0,DeBERTa
distance,20,0.5,0.6958333333333333,0.3712544425473063,350000000.0,DeBERTa
containment,28,0.25,0.5681567660734327,0.3959093934318378,350000000.0,DeBERTa
metaphor,27,0.1481481481481481,0.2685699588477366,0.3870549696337675,350000000.0,DeBERTa
motion,12,0.5,0.8385416666666666,0.210656892116037,,
orientation,7,0.0,0.5418509070294785,0.2582981419009756,,
distance,20,0.45,0.6138541666666668,0.4197791432168362,,
containment,28,0.2142857142857142,0.6148889690556357,0.4172322915767636,,
metaphor,27,0.2222222222222222,0.3103909465020576,0.4208782979907479,,
motion,12,0.5,0.8020833333333331,0.2799753925290769,700000000.0,DeBERTa
orientation,7,0.1428571428571428,0.5548008786848072,0.3895051592707699,700000000.0,DeBERTa
distance,20,0.5,0.7422916666666667,0.3457084990558439,700000000.0,DeBERTa
containment,28,0.25,0.5298470819304153,0.4304694630794524,700000000.0,DeBERTa
metaphor,27,0.1481481481481481,0.2256172839506172,0.3604370753780995,700000000.0,DeBERTa
motion,12,0.3333333333333333,0.3333333333333333,0.4714045207910317,3000000000.0,UnifiedQA
orientation,7,0.4285714285714285,0.4325396825396825,0.4915191561646353,3000000000.0,UnifiedQA
distance,20,0.3,0.3004166666666666,0.4579883171120319,3000000000.0,UnifiedQA
containment,28,0.5,0.5070947570947572,0.4941718816342996,3000000000.0,UnifiedQA
metaphor,27,0.074074074074074,0.0929012345679012,0.2733226407847583,3000000000.0,UnifiedQA
